tradeDate,ACCA_HS300,ACD20_HS300,ACD6_HS300,AD20_HS300,AD6_HS300,ADTM_HS300,ADXR_HS300,ADX_HS300,AD_HS300,Alpha120_HS300,Alpha20_HS300,Alpha60_HS300,APBMA_HS300,ARBR_HS300,ARC_HS300,AroonDown_HS300,AroonUp_HS300,Aroon_HS300,AR_HS300,ASI_HS300,ASSI_HS300,ATR14_HS300,ATR6_HS300,BackwardADJ_HS300,BBIC_HS300,BBI_HS300,BearPower_HS300,Beta120_HS300,Beta20_HS300,Beta252_HS300,Beta60_HS300,BIAS10_HS300,BIAS20_HS300,BIAS5_HS300,BIAS60_HS300,BollDown_HS300,BollUp_HS300,BondsPayableToAsset_HS300,BR_HS300,CapitalSurplusFundPS_HS300,CashEquivalentPS_HS300,CashFlowPS_HS300,CashRateOfSalesLatest_HS300,CashRateOfSales_HS300,CCI10_HS300,CCI20_HS300,CCI5_HS300,CCI88_HS300,CETOP_HS300,CFO2EV_HS300,ChaikinOscillator_HS300,ChaikinVolatility_HS300,ChandeSD_HS300,ChandeSU_HS300,CMO_HS300,CmraCNE5_HS300,CoppockCurve_HS300,CostTTM_HS300,CR20_HS300,CTOP_HS300,DASTD_HS300,DAVOL10_HS300,DAVOL20_HS300,DAVOL5_HS300,DBCD_HS300,DDI_HS300,DDNBT_HS300,DDNCR_HS300,DDNSR_HS300,DEA_HS300,DebtEquityRatio_HS300,DebtsAssetRatio_HS300,DEGM_HS300,DHILO_HS300,DIFF_HS300,DIF_HS300,DIZ_HS300,DownRVI_HS300,EARNMOM_HS300,EGRO_HS300,Elder_HS300,EMA10_HS300,EMA120_HS300,EMA12_HS300,EMA20_HS300,EMA26_HS300,EMA5_HS300,EMA60_HS300,EMV14_HS300,EMV6_HS300,EPSTTM_HS300,EPS_HS300,EquityFixedAssetRatio_HS300,EquityToAsset_HS300,EquityTRate_HS300,ETOP_HS300,FiftyTwoWeekHigh_HS300,FinancingCashGrowRate_HS300,FixAssetRatio_HS300,FixedAssetsTRate_HS300,ForwardPE_HS300,GainLossVarianceRatio120_HS300,GainLossVarianceRatio20_HS300,GainLossVarianceRatio60_HS300,GainVariance120_HS300,GainVariance20_HS300,GainVariance60_HS300,GREV_HS300,GrossIncomeRatio_HS300,HBETA_HS300,HsigmaCNE5_HS300,HSIGMA_HS300,Hurst_HS300,ILLIQUIDITY_HS300,InformationRatio120_HS300,InformationRatio20_HS300,InformationRatio60_HS300,InvestCashGrowRate_HS300,JDQS20_HS300,KDJ_D_HS300,KDJ_J_HS300,KDJ_K_HS300,KlingerOscillator_HS300,Kurtosis120_HS300,Kurtosis20_HS300,Kurtosis60_HS300,LCAP_HS300,LFLO_HS300,LongDebtToAsset_HS300,LossVariance120_HS300,LossVariance20_HS300,LossVariance60_HS300,MA10Close_HS300,MA10_HS300,MA120_HS300,MA20_HS300,MA5_HS300,MA60_HS300,MACD_HS300,MassIndex_HS300,MAWVAD_HS300,minusDI_HS300,MktValue_HS300,MoneyFlow20_HS300,MTMMA_HS300,MTM_HS300,NetAssetGrowRate_HS300,NetAssetPS_HS300,NetCashFlowGrowRate_HS300,NetFinanceCFTTM_HS300,NetInvestCFTTM_HS300,NetNonOIToTPLatest_HS300,NetOperateCFTTM_HS300,NetProfitAPTTM_HS300,NetProfitCashCover_HS300,NetProfitGrowRate_HS300,NetProfitRatio_HS300,NIAPCut_HS300,NIAP_HS300,NLSIZE_HS300,NOCFToOperatingNILatest_HS300,NOCFToOperatingNI_HS300,NOCFToTLiability_HS300,NonOperatingNPTTM_HS300,NPCutToNP_HS300,NPFromOperatingTTM_HS300,NPParentCompanyCutYOY_HS300,NPParentCompanyGrowRate_HS300,NPToTOR_HS300,NRProfitLoss_HS300,NVI_HS300,OBV20_HS300,OBV6_HS300,OBV_HS300,OperateNetIncome_HS300,OperateProfitTTM_HS300,OperatingNIToTPLatest_HS300,OperatingProfitGrowRate_HS300,OperatingProfitPSLatest_HS300,OperatingProfitPS_HS300,OperatingProfitRatio_HS300,OperatingProfitToTOR_HS300,OperatingRevenueGrowRate_HS300,OperatingRevenuePSLatest_HS300,OperatingRevenuePS_HS300,OperCashFlowPS_HS300,OperCashGrowRate_HS300,OperCashInToAsset_HS300,PB_HS300,PCF_HS300,PEHist120_HS300,PEHist20_HS300,PEHist250_HS300,PEHist60_HS300,PE_HS300,plusDI_HS300,Price1M_HS300,Price1Y_HS300,Price3M_HS300,PSIndu_HS300,PSY_HS300,PS_HS300,PVI_HS300,PVT12_HS300,PVT6_HS300,PVT_HS300,Rank1M_HS300,RC12_HS300,RC24_HS300,RealizedVolatility_HS300,RetainedEarningsPS_HS300,RetainedEarnings_HS300,RevenueTTM_HS300,REVS10_HS300,REVS20Indu1_HS300,REVS20_HS300,REVS5Indu1_HS300,REVS5m20_HS300,REVS5m60_HS300,REVS5_HS300,REVS60_HS300,ROA_HS300,ROC20_HS300,ROC6_HS300,ROEAvg_HS300,ROEDiluted_HS300,ROE_HS300,ROIC_HS300,RSI_HS300,RSTR12_HS300,RSTR24_HS300,RSTR504_HS300,RVI_HS300,SalesCostRatio_HS300,SaleServiceCashToOR_HS300,SaleServiceRenderCashTTM_HS300,SalesServiceCashToORLatest_HS300,SBM_HS300,SGRO_HS300,SharpeRatio120_HS300,SharpeRatio20_HS300,SharpeRatio60_HS300,Skewness_HS300,SRMI_HS300,StaticPE_HS300,STM_HS300,STOA_HS300,STOM_HS300,STOQ_HS300,SUE_HS300,SUOI_HS300,TA2EV_HS300,TaxRatio_HS300,TCostTTM_HS300,TEAP_HS300,TEMA10_HS300,TEMA5_HS300,TORPSLatest_HS300,TORPS_HS300,TotalAssetGrowRate_HS300,TotalAssetsTRate_HS300,TotalAssets_HS300,TotalProfitCostRatio_HS300,TotalProfitGrowRate_HS300,TProfitTTM_HS300,TRevenueTTM_HS300,TreynorRatio120_HS300,TreynorRatio20_HS300,TreynorRatio60_HS300,TRIX10_HS300,TRIX5_HS300,TVMA20_HS300,TVMA6_HS300,TVSTD20_HS300,TVSTD6_HS300,Ulcer10_HS300,Ulcer5_HS300,UndividedProfitPS_HS300,UOS_HS300,UpRVI_HS300,Variance120_HS300,Variance20_HS300,Variance60_HS300,VDEA_HS300,VDIFF_HS300,VEMA10_HS300,VEMA12_HS300,VEMA26_HS300,VEMA5_HS300,VMACD_HS300,VOL10_HS300,VOL120_HS300,VOL20_HS300,VOL240_HS300,VOL5_HS300,VOL60_HS300,Volatility_HS300,Volumn1M_HS300,Volumn3M_HS300,VOSC_HS300,VROC12_HS300,VROC6_HS300,VR_HS300,VSTD10_HS300,VSTD20_HS300,WVAD_HS300,close,open,high,low,volume,amount
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.998,9.968,10.305,9.909,7429900.0,75903985.5
2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.137,9.968,10.206,9.899,5966788.0,60699296.6
2022-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.454,10.137,10.583,9.988,8562638.0,89713596.54
2022-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.395,10.454,10.544,10.315,4609700.0,48513950.0
2022-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.196,10.345,10.534,10.157,6435050.0,67357649.5
2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.504,10.177,10.603,10.167,5699200.0,60100856.0
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.563,10.593,10.603,10.424,5528000.0,58607576.0
2022-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.593,10.563,10.722,10.484,6934800.0,74121340.5
2022-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.613,10.484,10.643,10.444,4061600.0,43259062.0
2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.712,10.653,10.752,10.563,5441300.0,58538522.0
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.613,10.712,10.762,10.563,5774428.0,62104683.28
